,Output pressure (kPa),Input pressure (kPa),Motor Vibration,Fault,Location
0,873.9697281861941,207.75086338490348,47.646350814870594,0.0,Redwater
1,893.3429886886985,191.26393415590601,51.916442731290374,0.0,Morinville
2,889.5656806595007,188.35672205123547,41.10672600617535,0.0,Lamont
3,868.291245359916,202.22550712196977,44.63824376758022,0.0,Lamont
4,864.8836734121875,191.29711851845238,45.36131141978436,0.0,Smoky Lake
5,937.890429425254,202.92175438974877,53.80157503437876,0.0,Edmonton
6,849.1092955944032,199.9592405514421,58.85457787874589,0.0,Smoky Lake
7,876.8719927265051,212.2068783045423,52.06488032358901,0.0,Morinville
8,936.6652430850917,175.89507332791138,52.90752330714385,0.0,Smoky Lake
9,886.3336824766845,208.17979815028238,43.07220854356933,0.0,Birch Cove
10,853.1645337345835,211.40097639599986,42.81366449028468,0.0,Morinville
11,938.194494005604,194.3969296322725,51.79753777961799,0.0,Morinville
12,923.9515956255082,198.2639069898115,56.19236383393157,0.0,Redwater
13,922.3439022045274,201.061408686988,57.706265849982465,0.0,Edmonton
14,906.7223201265787,202.80495145768458,44.15352679234762,0.0,Redwater
15,911.1773512689181,207.83381155159518,55.53247422812717,0.0,Westlock
16,976.1019252744047,185.65539738359377,57.93483364446015,0.0,Westlock
17,876.2560564272605,200.58816778322876,58.12702726973785,0.0,Westlock
18,935.3711611311624,206.40792499778667,51.52454874343928,0.0,Edmonton
19,907.9374944286313,211.96586954638036,45.968720897468636,0.0,Westlock
20,863.4047522244949,201.45451940426196,48.163477933851084,0.0,Smoky Lake
21,926.3374868363624,186.76775715913308,47.68476730291045,0.0,Morinville
22,905.786199235628,197.7204507774831,54.04833726119499,0.0,Edmonton
23,943.2674129163883,206.03215456057154,58.77609488857509,0.0,Westlock
24,872.6117923481903,196.73985114125537,46.996666368712845,0.0,Morinville
25,915.1337125385468,199.65545778575643,54.299402147536554,0.0,Morinville
26,906.3839911470975,203.08143095633838,50.82798743106661,0.0,Morinville
27,850.2041386097175,209.09263143288163,51.8117866913026,0.0,Redwater
28,917.5980890277121,189.26382918355554,50.54174303734591,0.0,Morinville
29,897.2709955876397,204.28602324205195,45.246250870650066,0.0,Birch Cove
30,885.2843907768527,203.56945236492663,57.41758374524977,0.0,Edmonton
31,885.7435549930248,204.400199727522,43.19097616895941,0.0,Birch Cove
32,914.4391038002718,205.19062006615366,57.80670679179621,0.0,Westlock
33,916.3447758640301,195.13122871384363,52.16636248659504,0.0,Smoky Lake
34,863.0001287854598,217.84785081642426,50.86498249340704,0.0,Edmonton
35,963.125950471617,197.26986946224878,48.582827595407636,0.0,Smoky Lake
36,881.8045346383504,183.25094947230593,55.166385731505095,0.0,Birch Cove
37,885.3691761103543,206.9890518767368,45.05553076505038,0.0,Lamont
38,862.8576755878286,187.40579937369705,40.874275960271206,0.0,Smoky Lake
39,959.9427860327464,197.74332626007094,44.968710727583,0.0,Edmonton
40,907.295194308806,200.91906638745849,41.475183385904,0.0,Westlock
41,955.0817776824304,200.22305876367224,49.133605626967594,0.0,Morinville
42,855.3914208727599,201.90608808290628,49.454222301756715,0.0,Edmonton
43,882.1207861922082,199.73424420736777,40.643854977462084,0.0,Birch Cove
44,887.9664327882274,184.86707333713795,54.16722099061933,0.0,Redwater
45,845.8110154449278,201.52888754017624,54.15676581663837,0.0,Birch Cove
46,897.9055049707498,204.4316161460977,44.66127038426469,0.0,Smoky Lake
47,932.5887632481765,196.83118688900913,49.6533110361615,0.0,Edmonton
48,872.374498016024,186.7564634790342,51.466059812904305,0.0,Westlock
49,881.3377378119872,210.8153511921595,54.80554410869437,0.0,Edmonton
50,887.8907657519766,212.08289381271214,56.154603502642004,0.0,Westlock
51,897.2931164993058,205.03415029720495,57.36674787336871,0.0,Morinville
52,844.991896475659,200.94301484814056,56.991139406989205,0.0,Westlock
53,878.8881271281139,200.91904347203626,56.42377707773073,0.0,Westlock
54,890.5381856756172,191.41212950562698,41.46228217095438,0.0,Smoky Lake
55,921.2850592659059,210.1714808213922,46.24817857899263,0.0,Morinville
56,874.8748129897522,205.32825499948055,54.88121770337007,0.0,Westlock
57,872.0050856268178,201.99318389954843,50.653527833875614,0.0,Smoky Lake
58,878.6599501912915,197.88289178786755,57.07076648461042,0.0,Lamont
59,932.1560577620752,221.06139614640423,50.66403829884234,0.0,Birch Cove
60,895.1348047975077,201.6086786850167,46.11613034593107,0.0,Smoky Lake
61,885.5438675976558,204.13784975938972,49.9523523615548,0.0,Lamont
62,885.3873320638843,201.20786725691602,41.80377928084734,0.0,Morinville
63,895.8364827478694,216.45624634744308,58.07237657382182,0.0,Smoky Lake
64,871.4106588116806,188.6978515005613,46.24406801451645,0.0,Redwater
65,909.0439822627725,186.86643833005044,46.1433458281939,0.0,Westlock
66,881.3441029473196,205.470151844117,54.19439496092643,0.0,Westlock
67,879.5661592764086,207.61255780954934,52.05369455490476,0.0,Lamont
68,941.8778896045858,196.4890027864782,46.37005817292193,0.0,Redwater
69,860.441065535214,211.33569607768104,54.424864543411445,0.0,Edmonton
70,914.0560498513499,215.70541622046895,46.852908623117635,0.0,Westlock
71,911.6396831709067,187.37725576955395,51.51551273869817,0.0,Lamont
72,934.3137435595316,202.5997076112536,48.47834533878207,0.0,Edmonton
73,874.3687551617986,199.40844934437163,42.900132881651835,0.0,Edmonton
74,938.884338782049,205.37071556361278,56.05698276414863,0.0,Westlock
